datacolumns 17
datarows 109
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
3.036 0.149545 0.025057 0.015655 0.023165 0.019739 0.028553 0.153828 0.032941 0.014844 0.027687 0.059748 0.009851 0.057334 0.202953 0.003842 0.003413
3.04 0.144136 0.026838 0.014898 0.021432 0.020409 0.027921 0.145483 0.031691 0.013024 0.024775 0.064254 0.009625 0.047883 0.19401 0.003575 0.003246
3.044 0.138873 0.028779 0.01408 0.019591 0.0215 0.027386 0.138925 0.030268 0.011473 0.022461 0.068584 0.009347 0.039495 0.184308 0.003331 0.0031
3.048 0.133678 0.030799 0.013229 0.017698 0.023006 0.026986 0.133894 0.028703 0.010181 0.02066 0.072424 0.009023 0.032148 0.174062 0.003109 0.002977
3.052 0.128569 0.032795 0.01237 0.0158 0.024908 0.026761 0.130103 0.027045 0.009132 0.01928 0.07546 0.008665 0.025791 0.163602 0.002908 0.002873
3.056 0.123623 0.034656 0.011523 0.013937 0.027167 0.026745 0.12721 0.025367 0.008303 0.018233 0.077483 0.008279 0.020361 0.153302 0.002725 0.002786
3.06 0.118852 0.036293 0.010701 0.012136 0.029726 0.026962 0.124798 0.023734 0.007662 0.017425 0.078407 0.007868 0.015783 0.143472 0.002562 0.002713
3.064 0.114179 0.037671 0.009907 0.010415 0.032511 0.02742 0.122411 0.022193 0.007176 0.016772 0.078211 0.007431 0.011979 0.134302 0.002421 0.002654
3.068 0.109544 0.038848 0.009142 0.008777 0.035438 0.028103 0.119652 0.020772 0.006806 0.016195 0.076959 0.006965 0.008861 0.125872 0.002307 0.002609
3.072 0.104893 0.039973 0.008403 0.007219 0.038409 0.028989 0.116213 0.019484 0.006516 0.015617 0.074787 0.006468 0.006341 0.118155 0.002224 0.00258
3.076 0.100194 0.041235 0.007685 0.00573 0.041305 0.030078 0.111936 0.01833 0.006275 0.014979 0.071881 0.005937 0.004346 0.111094 0.002176 0.002568
3.08 0.095646 0.042847 0.006974 0.004303 0.044009 0.031388 0.106841 0.017314 0.006065 0.01426 0.068509 0.005368 0.002816 0.104627 0.002168 0.002578
3.084 0.091673 0.045012 0.006258 0.002927 0.046414 0.032933 0.101115 0.016429 0.005877 0.013474 0.06507 0.004757 0.001696 0.098723 0.002207 0.002614
3.088 0.088781 0.047928 0.00552 0.00159 0.04841 0.034736 0.09505 0.015657 0.005705 0.012655 0.062031 0.004098 0.000928 0.093296 0.0023 0.002678
3.092 0.087413 0.051761 0.004749 0.000282 0.049903 0.036806 0.088971 0.014974 0.005547 0.011839 0.059829 0.003384 0.000463 0.088177 0.002455 0.002769
3.096 0.087956 0.056637 0.003938 0.0 0.050852 0.039123 0.083172 0.014354 0.005402 0.011056 0.058868 0.002612 0.000254 0.083217 0.002682 0.002884
3.1 0.090741 0.062633 0.003089 0.0 0.051239 0.041638 0.077874 0.013766 0.005273 0.010329 0.05951 0.001789 0.00026 0.078331 0.002991 0.003022
3.104 0.09604 0.069779 0.002206 0.0 0.051083 0.044287 0.073244 0.013183 0.005162 0.009683 0.062059 0.000934 0.000439 0.07352 0.003393 0.003174
3.108 0.104084 0.078076 0.001299 0.0 0.050431 0.046997 0.069403 0.012592 0.005074 0.009135 0.066763 7.1e-05 0.000753 0.068781 0.003898 0.003336
3.112 0.115025 0.087495 0.000379 0.0 0.049331 0.049681 0.066413 0.011993 0.005011 0.008699 0.073822 0.0 0.001165 0.064134 0.004512 0.003498
3.116 0.128953 0.097976 0.0 0.0 0.047843 0.052209 0.064286 0.011403 0.004971 0.008381 0.083371 0.0 0.001642 0.059613 0.005241 0.003651
3.12 0.145891 0.109392 0.0 0.0 0.046012 0.054408 0.062975 0.010841 0.004953 0.008184 0.095479 0.0 0.002152 0.055277 0.006086 0.003782
3.124 0.165761 0.121595 0.0 0.0 0.043883 0.056085 0.062378 0.010325 0.004951 0.008102 0.110135 0.0 0.002665 0.051231 0.007046 0.003877
